structure_class,structure_classification,design_strength,design_strength_sigma,height,natural_elastic_period,natural_elastic_period_sigma,fraction_in_first_mode,fraction_in_first_mode_sigma,height_to_displacement,height_to_displacement_sigma,yield_to_design,yield_to_design_sigma,ultimate_to_yield,ultimate_to_yield_sigma,ductility,ductility_sigma,degrading_alpha,degrading_alpha_sigma,degrading_beta,degrading_beta_sigma,degrading_delta,degrading_delta_sigma,degrading_theta,degrading_theta_sigma,damping_s,damping_m,damping_l,damping_Be,structural_damage_slight,structural_damage_moderate,structural_damage_extreme,structural_damage_complete
BUILDING,W1,0.2,0.3,14,0.2,0.3,0.8,0.3,0.8,0.3,1.5,0.3,2.5,0.3,4,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.01,0.01,0.01,0.15,0.001,0.008,0.015,0.03
BUILDING,W2,0.05,0.3,24,0.4,0.3,0.75,0.3,0.75,0.3,1.5,0.3,2.5,0.3,6,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.15,0.0032,0.0079,0.0245,0.06
BUILDING,S1L,0.033,0.3,24,0.5,0.3,0.8,0.3,0.75,0.3,1.5,0.3,3,0.3,5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.1,0.0048,0.0076,0.0162,0.04
BUILDING,S1M,0.025,0.3,60,1.08,0.3,0.8,0.3,0.75,0.3,1.25,0.3,3,0.3,3.3,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.1,0.0032,0.0051,0.0108,0.0267
BUILDING,S1H,0.017,0.3,156,2.21,0.3,0.75,0.3,0.6,0.3,1.1,0.3,3,0.3,2.5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.1,0.0024,0.0038,0.0081,0.02
BUILDING,S2L,0.05,0.3,24,0.4,0.3,0.75,0.3,0.75,0.3,1.5,0.3,2,0.3,5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.1,0.004,0.0064,0.016,0.04
BUILDING,S2M,0.05,0.3,60,0.86,0.3,0.75,0.3,0.75,0.3,1.25,0.3,2,0.3,3.3,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.1,0.0027,0.0043,0.0107,0.0267
BUILDING,S2H,0.038,0.3,156,1.77,0.3,0.65,0.3,0.6,0.3,1.1,0.3,2,0.3,2.5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.1,0.002,0.0032,0.0008,0.02
BUILDING,S3,0.05,0.3,15,0.4,0.3,0.75,0.3,0.75,0.3,1.5,0.3,2,0.3,5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.1,0.0032,0.0051,0.0128,0.035
BUILDING,S4L,0.04,0.3,24,0.35,0.3,0.75,0.3,0.75,0.3,1.5,0.3,2.25,0.3,5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.1,0.0032,0.0051,0.0128,0.035
BUILDING,S4M,0.04,0.3,60,0.65,0.3,0.75,0.3,0.75,0.3,1.25,0.3,2.25,0.3,3.3,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.1,0.0021,0.0034,0.0086,0.0233
BUILDING,S4H,0.03,0.3,156,1.32,0.3,0.65,0.3,0.6,0.3,1.1,0.3,2.25,0.3,2.5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.1,0.0016,0.0026,0.0064,0.0175
BUILDING,S5L,0.05,0.3,24,0.35,0.3,0.75,0.3,0.75,0.3,1.5,0.3,2,0.3,5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.1,0.0024,0.0048,0.012,0.028
BUILDING,S5M,0.05,0.3,60,0.65,0.3,0.75,0.3,0.75,0.3,1.25,0.3,2,0.3,3.3,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.1,0.0016,0.0032,0.008,0.0187
BUILDING,S5H,0.038,0.3,156,1.32,0.3,0.65,0.3,0.6,0.3,1.1,0.3,2,0.3,2.5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.1,0.0012,0.0024,0.006,0.014
BUILDING,C1L,0.1,0.3,20,0.4,0.3,0.8,0.3,0.75,0.3,1.5,0.3,1.5,0.3,2,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.01,0.01,0.01,0.07,0.004,0.0045,0.01,0.03
BUILDING,C1M,0.1,0.3,50,0.75,0.3,0.8,0.3,0.75,0.3,1.5,0.3,1.5,0.3,2,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.01,0.01,0.01,0.07,0.004,0.0045,0.01,0.03
BUILDING,C1H,0.1,0.3,120,1.45,0.3,0.75,0.3,0.6,0.3,1.5,0.3,1.5,0.3,2,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.01,0.01,0.01,0.07,0.004,0.0045,0.01,0.03
BUILDING,C2L,0.05,0.3,20,0.35,0.3,0.75,0.3,0.75,0.3,1.5,0.3,2.5,0.3,5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.07,0.0032,0.0061,0.0158,0.04
BUILDING,C2M,0.05,0.3,50,0.56,0.3,0.75,0.3,0.75,0.3,1.25,0.3,2.5,0.3,3.3,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.07,0.0021,0.0041,0.0105,0.0267
BUILDING,C2H,0.038,0.3,120,1.09,0.3,0.65,0.3,0.6,0.3,1.1,0.3,2.5,0.3,2.5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.07,0.0016,0.0031,0.0079,0.02
BUILDING,C3L,0.05,0.3,20,0.35,0.3,0.75,0.3,0.75,0.3,1.5,0.3,2.25,0.3,5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.07,0.0024,0.0048,0.012,0.028
BUILDING,C3M,0.05,0.3,50,0.56,0.3,0.75,0.3,0.75,0.3,1.25,0.3,2.25,0.3,3.3,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.07,0.0016,0.0032,0.008,0.0187
BUILDING,C3H,0.038,0.3,120,1.09,0.3,0.65,0.3,0.6,0.3,1.1,0.3,2.25,0.3,2.5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.07,0.0012,0.0024,0.006,0.014
BUILDING,PC1,0.05,0.3,15,0.35,0.3,0.5,0.3,0.75,0.3,1.5,0.3,2,0.3,5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.05,0.0032,0.0051,0.0128,0.035
BUILDING,PC2L,0.05,0.3,20,0.35,0.3,0.75,0.3,0.75,0.3,1.5,0.3,2,0.3,5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.05,0.0032,0.0051,0.0128,0.035
