B Type,ID
W1,1
W2,2
S1L,3
S1M,4
S1H,5
S2L,6
S2M,7
S2H,8
S3,9
S4L,10
S4M,11
S4H,12
S5L,13
S5M,14
S5H,15
C1L,16
C1M,17
C1H,18
C2L,19
C2M,20
C2H,21
C3L,22
C3M,23
C3H,24
PC1,25
PC2L,26
PC2M,27
PC2H,28
RM1L,29
RM1M,30
RM2L,31
RM2M,32
RM2H,33
URML,34
URMM,35
MH,36
W1MEAN,37
W1BVTILE,38
W1BVMETAL,39
W1TIMBERTILE,40
W1TIMBERMETAL,41
C1LMEAN,42
C1LSOFT,43
C1LNOSOFT,44
C1MMEAN,45
C1MSOFT,46
C1MNOSOFT,47
C1HMEAN,48
C1HSOFT,49
C1HNOSOFT,50
URMLMEAN,51
URMLTILE,52
URMLMETAL,53
URMMMEAN,54
URMMTILE,55
URMMMETAL,56
HWB1,57
HWB2,58
HWB3,59
HWB5,60
HWB8,61
HWB10,62
HWB12,63
HWB15,64
HWB17,65
HWB20,66
HWB22,67
HWB24,68
HWB26,69
HWB28,70
