% latitude, longitude 
-25 129.8
-25 129.81
-25 129.82
-25 129.83
-25 129.84
-25 129.85
-25 129.86
-25 129.87
-25 129.88
-25 129.89
-25 129.9
-25 129.91
-25 129.92
-25 129.93
-25 129.94
-25 129.95
-25 129.96
-25 129.97
-25 129.98
-25 129.99
-25 130
-25 130.01
-25 130.02
-25 130.03
-25 130.04
-25 130.05
-25 130.06
-25 130.07
-25 130.08
-25 130.09
-25 130.1
-25 130.11
-25 130.12
-25 130.13
-25 130.14
-25 130.15
-25 130.16
-25 130.17
-25 130.18
-25 130.19
-25 130.2
