trace_start_lat,trace_start_lon,trace_end_lat,trace_end_lon,azimuth,dip,event_activity,Mw,rupture_centroid_lat,rupture_centroid_lon,depth,rupture_centroid_x,rupture_centroid_y,length,width,event_num,name
-32.5878237168,151.453681969,-32.6074499959,151.460871377,162.856639264,35.0,8.63094464636e-06,4.73677516422,-32.6390207537,151.297958945,10.9243743666,1.14118902532,15.6016234766,2.28237805064,2.28237805064,0,0
-32.7009887377,151.803391295,-32.7333851468,151.788218901,201.518058989,35.0,3.00236317979e-06,5.19537027018,-32.6625902523,151.63132025,11.5819727335,1.93488491811,16.5407712735,3.86976983622,3.86976983622,1,0
-32.9990212644,151.650917147,-32.9801805214,151.639339771,332.715810249,35.0,8.10151307653e-06,4.76426735821,-32.9250100903,151.794318051,10.9637965533,1.17788714867,15.6579241939,2.35577429735,2.35577429735,2,0
-33.1749799561,151.579335142,-33.1918269827,151.583749904,167.634025236,35.0,1.22397771389e-05,4.58505998527,-33.2128714558,151.42088989,10.7068237373,0.958296709618,15.290928979,1.91659341924,1.91659341924,3,0
-32.6452047954,151.420051292,-32.6695206266,151.418627305,182.822858302,35.0,6.14293910387e-06,4.88445728544,-32.6503143768,151.24956685,11.1361418288,1.35269114501,15.9040587555,2.70538229003,2.70538229003,4,0
-32.7928897481,152.250891015,-32.8171743322,152.233229581,211.458538386,35.0,4.49225246182e-06,5.02036934018,-32.7290340176,152.094397752,11.3310317089,1.58181130269,16.1823903494,3.16362260537,3.16362260537,5,0
-32.682277379,151.348110361,-32.6751623813,151.367557934,66.4777237878,35.0,1.14560561969e-05,4.61379836017,-32.8053725402,151.423423284,10.748032874,0.99053353738,15.3497817254,1.98106707476,1.98106707476,6,0
-32.4849844923,151.434902379,-32.5080307928,151.432854249,184.287110055,35.0,6.81667959508e-06,4.83926061424,-32.4858711713,151.265670323,11.0713324647,1.28410433307,15.8115013914,2.56820866614,2.56820866614,7,0
-32.975067947,151.74753183,-32.9941409758,151.72338294,226.757779278,35.0,4.69739946558e-06,5.0009760015,-32.8787835789,151.616956806,11.3032228037,1.5468849178,16.1426751168,3.09376983559,3.09376983559,8,0
-33.1320582386,151.741767565,-33.1230330572,151.702895773,285.471674107,35.0,3.18086275619e-06,5.17028856441,-32.9845368285,151.769521584,11.546007045,1.87981143253,16.4894069471,3.75962286507,3.75962286507,9,0
-32.7301688128,151.199222725,-32.7103736897,151.215038191,33.8844442425,35.0,6.40353966793e-06,4.86641339135,-32.7998772478,151.348149102,11.1102679476,1.32488047545,15.8671070237,2.64976095089,2.64976095089,10,0
-32.6145071466,151.735707178,-32.6288895496,151.784755088,109.224454545,35.0,1.90831323071e-06,5.39218383418,-32.7656708914,151.700526065,11.8641917903,2.42695610425,16.943821857,4.85391220851,4.85391220851,11,0
-32.5364652883,151.339980522,-32.5193012814,151.353031414,32.6413934971,35.0,8.76316139959e-06,4.73017268495,-32.6035448444,151.486721912,10.9149068003,1.13254729416,15.5881023906,2.26509458832,2.26509458832,12,0
-33.0451131424,151.812848338,-33.0326600833,151.775141394,291.472032372,35.0,3.14579711445e-06,5.17510278581,-32.9007166147,151.858725534,11.5529103548,1.89025936001,16.4992658953,3.78051872003,3.78051872003,13,0
-33.2392550179,151.5377959,-33.2451622085,151.518793616,249.637853715,35.0,1.26324502173e-05,4.57134590012,-33.1134429337,151.47123739,10.6871585471,0.943285056468,15.2628441767,1.88657011294,1.88657011294,14,0
-32.7710994326,151.806785836,-32.7321239337,151.81927561,15.0769210931,35.0,2.23460082158e-06,5.32363354143,-32.790944255,151.98671349,11.7658947087,2.24278051865,16.8034390758,4.4855610373,4.4855610373,15,0
-32.9033558779,151.352668908,-32.8760235809,151.349012613,353.589631488,35.0,4.8129250513e-06,4.99042439681,-32.8734926956,151.522491266,11.2880924241,1.52820706365,16.1210666954,3.0564141273,3.0564141273,16,0
-32.6284673223,151.464725237,-32.6102127502,151.459847753,347.312801205,35.0,1.03990762402e-05,4.65583873332,-32.5888324933,151.62312279,10.8083162925,1.0396552979,15.4358753694,2.07931059579,2.07931059579,17,0
-33.3528965191,151.720816665,-33.3735497646,151.685005073,235.412112072,35.0,2.75057765783e-06,5.23340958452,-33.2401058118,151.601408602,11.6365188694,2.02150489173,16.6186712288,4.04300978347,4.04300978347,18,0
-32.6349948115,151.520164825,-32.6641983222,151.489402432,221.602573648,35.0,2.38711310437e-06,5.29496049863,-32.5495487855,151.37111084,11.7247792544,2.16995263168,16.7447201217,4.33990526336,4.33990526336,19,0
-32.9687555282,151.411809608,-32.9589319471,151.429655993,56.6978742505,35.0,1.13736337081e-05,4.61693425801,-33.07933982,151.511282352,10.7525295667,0.994116159421,15.3562036682,1.98823231884,1.98823231884,20,0
-33.1431789594,151.525622289,-33.104334103,151.530007637,5.40026530186,35.0,2.39154321594e-06,5.29415526242,-33.1379363985,151.706949935,11.7236245931,2.16794188227,16.7430710945,4.33588376453,4.33588376453,21,0
-33.1130069452,151.585570462,-33.1545745167,151.576626297,190.217255821,35.0,2.0408707074e-06,5.36301800324,-33.1068398487,151.402589843,11.8223697069,2.34681581352,16.8840937318,4.69363162704,4.69363162704,22,0
-33.2345140566,151.426456735,-33.2134694615,151.436340921,21.4383978608,35.0,7.12280410572e-06,4.82018249518,-33.2758687302,151.589422334,11.0439755658,1.25620712385,15.7724316908,2.5124142477,2.5124142477,23,0
-32.9041205657,151.389695637,-32.8911050247,151.429059377,68.4749746073,35.0,2.893329997e-06,5.21143552587,-33.0363553315,151.474653104,11.6050093638,1.97100518736,16.5736709911,3.94201037472,3.94201037472,24,0
-32.8982465169,151.450259358,-32.8965774137,151.489559197,87.0994849195,35.0,3.34639083487e-06,5.14825683342,-33.0452023374,151.478842356,11.5144148406,1.8327297137,16.4442886033,3.66545942741,3.66545942741,25,0
-32.399409868,151.001720807,-32.3717738934,151.007983143,10.8297321209,35.0,4.59886224605e-06,5.01018309459,-32.4129178947,151.174058348,11.3164252328,1.56336919993,16.1615301396,3.12673839986,3.12673839986,26,0
