LATITUDE,LONGITUDE,SITE_CLASS,VS30
-32.961,151.727,B,560
-32.963,151.727,B,560
-32.965,151.727,B,560
-32.967,151.727,B,560
-32.969,151.727,B,560
-32.971,151.727,B,560
-32.973,151.727,B,560
-32.975,151.727,B,560
-32.977,151.727,B,560
-32.981,151.727,B,560
-32.983,151.727,B,560
-32.985,151.727,B,560
-32.987,151.727,B,560
-32.989,151.727,B,560
-32.991,151.727,B,560
-32.993,151.727,B,560
-32.995,151.727,B,560
-32.997,151.727,B,560
-32.999,151.727,B,560
-33.011,151.727,B,560
-32.823,151.725,B,560
-32.825,151.725,B,560
-32.827,151.725,B,560
-32.829,151.725,B,560
-32.885,151.725,B,560
-32.887,151.725,B,560
-32.889,151.725,B,560
-32.893,151.725,B,560
-32.895,151.725,B,560
-32.897,151.725,B,560
-32.899,151.725,B,560
-32.901,151.725,B,560
-32.903,151.725,B,560
-32.905,151.725,B,560
-32.907,151.725,B,560
-32.909,151.725,B,560
-32.911,151.725,B,560
-32.913,151.725,B,560
-32.933,151.725,B,560
-32.935,151.725,B,560
-32.937,151.725,B,560
-32.939,151.725,B,560
-32.941,151.725,B,560
-32.943,151.725,B,560
-32.945,151.725,B,560
-32.947,151.725,B,560
-32.949,151.725,B,560
-32.951,151.725,B,560
-32.953,151.725,B,560
-32.955,151.725,B,560
-32.957,151.725,B,560
-32.959,151.725,B,560
-32.961,151.725,B,560
-32.963,151.725,B,560
-32.965,151.725,B,560
-32.967,151.725,B,560
-32.969,151.725,B,560
-32.971,151.725,B,560
-32.973,151.725,B,560
-32.975,151.725,B,560
-32.977,151.725,B,560
-32.979,151.725,B,560
-32.981,151.725,B,560
-32.983,151.725,B,560
-32.985,151.725,B,560
-32.987,151.725,B,560
-32.989,151.725,B,560
-32.991,151.725,B,560
-32.993,151.725,B,560
-32.995,151.725,B,560
-32.997,151.725,B,560
-32.999,151.725,B,560
-33.009,151.725,B,560
-33.011,151.725,B,560
-33.013,151.725,B,560
-32.823,151.723,B,560
-32.825,151.723,B,560
-32.827,151.723,B,560
-32.829,151.723,B,560
-32.883,151.723,B,560
-32.885,151.723,B,560
-32.887,151.723,B,560
-32.889,151.723,B,560
-32.891,151.723,B,560
-32.893,151.723,B,560
-32.895,151.723,B,560
-32.897,151.723,B,560
-32.899,151.723,B,560
-32.901,151.723,B,560
-32.903,151.723,B,560
-32.905,151.723,B,560
-32.907,151.723,B,560
-32.909,151.723,B,560
-32.911,151.723,B,560
-32.913,151.723,B,560
-32.939,151.723,B,560
-32.941,151.723,B,560
-32.943,151.723,B,560
-32.945,151.723,B,560
-32.947,151.723,B,560
-32.949,151.723,B,560
-32.951,151.723,B,560
-32.953,151.723,B,560
-32.955,151.723,B,560
-32.957,151.723,B,560
-32.959,151.723,B,560
-32.961,151.723,B,560
-32.963,151.723,B,560
-32.965,151.723,B,560
-32.967,151.723,B,560
-32.969,151.723,B,560
-32.971,151.723,B,560
-32.973,151.723,B,560
-32.975,151.723,B,560
-32.977,151.723,B,560
-32.979,151.723,B,560
-32.981,151.723,B,560
-32.983,151.723,B,560
-32.985,151.723,B,560
-32.987,151.723,B,560
-32.989,151.723,B,560
-32.991,151.723,B,560
-32.993,151.723,B,560
-32.995,151.723,B,560
-33.009,151.723,B,560
-33.011,151.723,B,560
-33.013,151.723,B,560
-32.823,151.721,B,560
-32.825,151.721,B,560
-32.827,151.721,B,560
-32.829,151.721,B,560
-32.887,151.721,B,560
-32.889,151.721,B,560
-32.891,151.721,B,560
-32.893,151.721,B,560
-32.895,151.721,B,560
-32.897,151.721,B,560
-32.899,151.721,B,560
-32.901,151.721,B,560
-32.903,151.721,B,560
-32.905,151.721,B,560
-32.907,151.721,B,560
-32.909,151.721,B,560
-32.911,151.721,B,560
-32.913,151.721,B,560
-32.917,151.721,B,560
-32.941,151.721,B,560
-32.943,151.721,B,560
-32.945,151.721,B,560
-32.947,151.721,B,560
-32.949,151.721,B,560
-32.951,151.721,B,560
-32.953,151.721,B,560
-32.955,151.721,B,560
-32.957,151.721,B,560
-32.959,151.721,B,560
-32.961,151.721,B,560
-32.963,151.721,B,560
-32.965,151.721,B,560
-32.967,151.721,B,560
-32.969,151.721,B,560
-32.971,151.721,B,560
-32.973,151.721,B,560
-32.975,151.721,B,560
-32.977,151.721,B,560
-32.979,151.721,B,560
-32.981,151.721,B,560
-32.983,151.721,B,560
-32.985,151.721,B,560
-32.987,151.721,B,560
-32.989,151.721,B,560
-32.991,151.721,B,560
-32.993,151.721,B,560
-33.013,151.721,B,560
-32.821,151.719,B,560
-32.823,151.719,B,560
-32.825,151.719,B,560
-32.827,151.719,B,560
-32.829,151.719,B,560
-32.881,151.719,B,560
-32.883,151.719,B,560
-32.885,151.719,B,560
-32.887,151.719,B,560
-32.889,151.719,B,560
-32.893,151.719,B,560
-32.895,151.719,B,560
-32.897,151.719,B,560
-32.899,151.719,B,560
-32.901,151.719,B,560
-32.903,151.719,B,560
-32.905,151.719,B,560
-32.907,151.719,B,560
-32.909,151.719,B,560
-32.915,151.719,B,560
-32.917,151.719,B,560
-32.923,151.719,B,560
-32.935,151.719,B,560
-32.943,151.719,B,560
-32.945,151.719,B,560
-32.947,151.719,B,560
-32.949,151.719,B,560
-32.951,151.719,B,560
-32.953,151.719,B,560
-32.955,151.719,B,560
-32.957,151.719,B,560
-32.959,151.719,B,560
-32.961,151.719,B,560
-32.963,151.719,B,560
-32.965,151.719,B,560
-32.967,151.719,B,560
-32.969,151.719,B,560
-32.971,151.719,B,560
-32.973,151.719,B,560
-32.975,151.719,B,560
-32.977,151.719,B,560
-32.979,151.719,B,560
-32.981,151.719,B,560
-32.983,151.719,B,560
-32.985,151.719,B,560
-32.987,151.719,B,560
-32.989,151.719,B,560
-32.991,151.719,B,560
-32.993,151.719,B,560
-32.995,151.719,B,560
-32.997,151.719,B,560
-32.999,151.719,B,560
-33.001,151.719,B,560
-32.817,151.717,B,560
-32.819,151.717,B,560
-32.821,151.717,B,560
-32.823,151.717,B,560
-32.825,151.717,B,560
-32.827,151.717,B,560
-32.829,151.717,B,560
-32.879,151.717,B,560
-32.881,151.717,B,560
-32.883,151.717,B,560
-32.885,151.717,B,560
-32.889,151.717,B,560
-32.893,151.717,B,560
-32.895,151.717,B,560
-32.897,151.717,B,560
-32.899,151.717,B,560
-32.901,151.717,B,560
-32.903,151.717,B,560
-32.905,151.717,B,560
-32.907,151.717,B,560
-32.909,151.717,B,560
-32.913,151.717,B,560
-32.915,151.717,B,560
-32.917,151.717,B,560
-32.921,151.717,B,560
-32.923,151.717,B,560
-32.925,151.717,B,560
-32.935,151.717,B,560
-32.937,151.717,B,560
-32.939,151.717,B,560
-32.945,151.717,B,560
-32.947,151.717,B,560
-32.949,151.717,B,560
-32.951,151.717,B,560
-32.953,151.717,B,560
-32.955,151.717,B,560
-32.957,151.717,B,560
-32.959,151.717,B,560
-32.961,151.717,B,560
-32.963,151.717,B,560
-32.965,151.717,B,560
-32.967,151.717,B,560
-32.969,151.717,B,560
-32.971,151.717,B,560
-32.973,151.717,B,560
-32.975,151.717,B,560
-32.977,151.717,B,560
-32.979,151.717,B,560
-32.981,151.717,B,560
-32.983,151.717,B,560
-32.985,151.717,B,560
-32.987,151.717,B,560
-32.989,151.717,B,560
-32.991,151.717,B,560
-32.993,151.717,B,560
-32.995,151.717,B,560
-32.997,151.717,B,560
-32.999,151.717,B,560
-32.815,151.715,B,560
-32.817,151.715,B,560
-32.819,151.715,B,560
-32.821,151.715,B,560
-32.823,151.715,B,560
-32.825,151.715,B,560
-32.827,151.715,B,560
-32.877,151.715,B,560
-32.879,151.715,B,560
-32.881,151.715,B,560
-32.883,151.715,B,560
-32.885,151.715,B,560
-32.893,151.715,B,560
-32.895,151.715,B,560
-32.897,151.715,B,560
-32.899,151.715,B,560
-32.901,151.715,B,560
-32.903,151.715,B,560
-32.905,151.715,B,560
-32.907,151.715,B,560
-32.909,151.715,B,560
-32.911,151.715,B,560
-32.913,151.715,B,560
-32.915,151.715,B,560
-32.917,151.715,B,560
-32.921,151.715,B,560
-32.923,151.715,B,560
-32.925,151.715,B,560
-32.927,151.715,B,560
-32.937,151.715,B,560
-32.939,151.715,B,560
-32.941,151.715,B,560
-32.943,151.715,B,560
-32.945,151.715,B,560
-32.947,151.715,B,560
-32.949,151.715,B,560
-32.951,151.715,B,560
-32.953,151.715,B,560
-32.955,151.715,B,560
-32.957,151.715,B,560
-32.959,151.715,B,560
-32.961,151.715,B,560
-32.963,151.715,B,560
-32.965,151.715,B,560
-32.967,151.715,B,560
-32.969,151.715,B,560
-32.971,151.715,B,560
-32.973,151.715,B,560
-32.975,151.715,B,560
-32.977,151.715,B,560
-32.979,151.715,B,560
-32.981,151.715,B,560
-32.983,151.715,B,560
-32.985,151.715,B,560
-32.987,151.715,B,560
-32.989,151.715,B,560
-32.991,151.715,B,560
-32.993,151.715,B,560
-32.995,151.715,B,560
-32.997,151.715,B,560
-32.999,151.715,B,560
-33.001,151.715,B,560
-32.815,151.713,B,560
-32.817,151.713,B,560
-32.819,151.713,B,560
-32.821,151.713,B,560
-32.823,151.713,B,560
-32.825,151.713,B,560
-32.873,151.713,B,560
-32.875,151.713,B,560
-32.877,151.713,B,560
-32.879,151.713,B,560
-32.881,151.713,B,560
-32.893,151.713,B,560
-32.895,151.713,B,560
-32.897,151.713,B,560
-32.899,151.713,B,560
-32.901,151.713,B,560
-32.903,151.713,B,560
-32.905,151.713,B,560
-32.911,151.713,B,560
-32.913,151.713,B,560
-32.921,151.713,B,560
-32.923,151.713,B,560
-32.925,151.713,B,560
-32.929,151.713,B,560
-32.939,151.713,B,560
-32.941,151.713,B,560
-32.943,151.713,B,560
-32.945,151.713,B,560
-32.947,151.713,B,560
-32.949,151.713,B,560
-32.951,151.713,B,560
-32.953,151.713,B,560
-32.955,151.713,B,560
-32.957,151.713,B,560
-32.959,151.713,B,560
-32.961,151.713,B,560
-32.963,151.713,B,560
-32.965,151.713,B,560
-32.967,151.713,B,560
-32.969,151.713,B,560
-32.971,151.713,B,560
-32.973,151.713,B,560
-32.975,151.713,B,560
-32.977,151.713,B,560
-32.979,151.713,B,560
-32.981,151.713,B,560
-32.983,151.713,B,560
-32.985,151.713,B,560
-32.987,151.713,B,560
-32.989,151.713,B,560
-32.991,151.713,B,560
-32.993,151.713,B,560
-32.995,151.713,B,560
-32.997,151.713,B,560
-32.999,151.713,B,560
-33.001,151.713,B,560
-32.813,151.711,B,560
-32.815,151.711,B,560
-32.817,151.711,B,560
-32.819,151.711,B,560
-32.821,151.711,B,560
-32.823,151.711,B,560
-32.825,151.711,B,560
-32.873,151.711,B,560
-32.877,151.711,B,560
-32.879,151.711,B,560
-32.881,151.711,B,560
-32.891,151.711,B,560
-32.895,151.711,B,560
-32.897,151.711,B,560
-32.899,151.711,B,560
-32.901,151.711,B,560
-32.903,151.711,B,560
-32.905,151.711,B,560
-32.907,151.711,B,560
-32.909,151.711,B,560
-32.911,151.711,B,560
-32.917,151.711,B,560
-32.921,151.711,B,560
-32.923,151.711,B,560
-32.925,151.711,B,560
-32.929,151.711,B,560
-32.943,151.711,B,560
-32.945,151.711,B,560
-32.947,151.711,B,560
-32.949,151.711,B,560
-32.951,151.711,B,560
-32.953,151.711,B,560
-32.955,151.711,B,560
-32.957,151.711,B,560
-32.959,151.711,B,560
-32.961,151.711,B,560
-32.963,151.711,B,560
-32.965,151.711,B,560
-32.967,151.711,B,560
-32.969,151.711,B,560
-32.971,151.711,B,560
-32.973,151.711,B,560
-32.975,151.711,B,560
-32.977,151.711,B,560
-32.979,151.711,B,560
-32.981,151.711,B,560
-32.983,151.711,B,560
-32.985,151.711,B,560
-32.987,151.711,B,560
-32.989,151.711,B,560
-32.991,151.711,B,560
-32.993,151.711,B,560
-32.995,151.711,B,560
-32.997,151.711,B,560
-32.999,151.711,B,560
-32.811,151.709,B,560
-32.813,151.709,B,560
-32.815,151.709,B,560
-32.817,151.709,B,560
-32.819,151.709,B,560
-32.821,151.709,B,560
-32.823,151.709,B,560
-32.825,151.709,B,560
-32.869,151.709,B,560
-32.871,151.709,B,560
-32.873,151.709,B,560
-32.875,151.709,B,560
-32.877,151.709,B,560
-32.889,151.709,B,560
-32.891,151.709,B,560
-32.893,151.709,B,560
-32.895,151.709,B,560
-32.897,151.709,B,560
-32.899,151.709,B,560
-32.901,151.709,B,560
-32.903,151.709,B,560
-32.905,151.709,B,560
-32.907,151.709,B,560
-32.909,151.709,B,560
-32.911,151.709,B,560
-32.915,151.709,B,560
-32.917,151.709,B,560
-32.919,151.709,B,560
-32.921,151.709,B,560
-32.923,151.709,B,560
-32.925,151.709,B,560
-32.929,151.709,B,560
-32.935,151.709,B,560
-32.937,151.709,B,560
-32.941,151.709,B,560
-32.943,151.709,B,560
-32.945,151.709,B,560
-32.947,151.709,B,560
-32.949,151.709,B,560
-32.951,151.709,B,560
-32.953,151.709,B,560
-32.955,151.709,B,560
-32.957,151.709,B,560
-32.959,151.709,B,560
-32.961,151.709,B,560
-32.963,151.709,B,560
-32.965,151.709,B,560
-32.967,151.709,B,560
-32.969,151.709,B,560
-32.971,151.709,B,560
-32.973,151.709,B,560
-32.975,151.709,B,560
-32.977,151.709,B,560
-32.979,151.709,B,560
-32.981,151.709,B,560
-32.983,151.709,B,560
-32.985,151.709,B,560
-32.987,151.709,B,560
-32.989,151.709,B,560
-32.991,151.709,B,560
-32.993,151.709,B,560
-32.995,151.709,B,560
-32.997,151.709,B,560
-32.999,151.709,B,560
-32.811,151.707,B,560
-32.813,151.707,B,560
-32.815,151.707,B,560
-32.817,151.707,B,560
-32.819,151.707,B,560
-32.821,151.707,B,560
-32.823,151.707,B,560
-32.825,151.707,B,560
-32.859,151.707,B,560
-32.861,151.707,B,560
-32.863,151.707,B,560
-32.865,151.707,B,560
-32.867,151.707,B,560
-32.869,151.707,B,560
-32.871,151.707,B,560
-32.873,151.707,B,560
-32.885,151.707,B,560
-32.887,151.707,B,560
-32.889,151.707,B,560
-32.891,151.707,B,560
-32.893,151.707,B,560
-32.895,151.707,B,560
-32.897,151.707,B,560
-32.899,151.707,B,560
-32.901,151.707,B,560
-32.903,151.707,B,560
-32.905,151.707,B,560
-32.907,151.707,B,560
-32.909,151.707,B,560
-32.911,151.707,B,560
-32.913,151.707,B,560
-32.915,151.707,B,560
-32.917,151.707,B,560
-32.919,151.707,B,560
-32.921,151.707,B,560
-32.923,151.707,B,560
-32.925,151.707,B,560
-32.929,151.707,B,560
-32.931,151.707,B,560
-32.937,151.707,B,560
-32.939,151.707,B,560
-32.943,151.707,B,560
-32.945,151.707,B,560
-32.947,151.707,B,560
-32.949,151.707,B,560
-32.951,151.707,B,560
-32.953,151.707,B,560
-32.955,151.707,B,560
-32.957,151.707,B,560
-32.959,151.707,B,560
-32.961,151.707,B,560
-32.963,151.707,B,560
-32.965,151.707,B,560
-32.967,151.707,B,560
-32.969,151.707,B,560
-32.971,151.707,B,560
-32.973,151.707,B,560
-32.975,151.707,B,560
-32.977,151.707,B,560
-32.979,151.707,B,560
-32.981,151.707,B,560
-32.983,151.707,B,560
-32.985,151.707,B,560
-32.987,151.707,B,560
-32.989,151.707,B,560
-32.991,151.707,B,560
-32.993,151.707,B,560
-32.995,151.707,B,560
-32.997,151.707,B,560
-32.999,151.707,B,560
-32.811,151.705,B,560
-32.813,151.705,B,560
-32.819,151.705,B,560
-32.821,151.705,B,560
-32.823,151.705,B,560
-32.857,151.705,B,560
-32.859,151.705,B,560
-32.861,151.705,B,560
-32.863,151.705,B,560
-32.865,151.705,B,560
-32.867,151.705,B,560
-32.869,151.705,B,560
-32.871,151.705,B,560
-32.887,151.705,B,560
-32.889,151.705,B,560
-32.891,151.705,B,560
-32.893,151.705,B,560
-32.895,151.705,B,560
-32.897,151.705,B,560
-32.899,151.705,B,560
-32.901,151.705,B,560
-32.903,151.705,B,560
-32.905,151.705,B,560
-32.907,151.705,B,560
-32.909,151.705,B,560
-32.911,151.705,B,560
-32.913,151.705,B,560
-32.915,151.705,B,560
-32.917,151.705,B,560
-32.919,151.705,B,560
-32.921,151.705,B,560
-32.923,151.705,B,560
-32.925,151.705,B,560
-32.927,151.705,B,560
-32.929,151.705,B,560
-32.931,151.705,B,560
-32.935,151.705,B,560
-32.937,151.705,B,560
-32.939,151.705,B,560
-32.943,151.705,B,560
-32.945,151.705,B,560
-32.947,151.705,B,560
-32.949,151.705,B,560
-32.951,151.705,B,560
-32.953,151.705,B,560
-32.955,151.705,B,560
-32.957,151.705,B,560
-32.959,151.705,B,560
-32.961,151.705,B,560
-32.963,151.705,B,560
-32.965,151.705,B,560
-32.967,151.705,B,560
-32.969,151.705,B,560
-32.971,151.705,B,560
-32.973,151.705,B,560
-32.975,151.705,B,560
-32.977,151.705,B,560
-32.979,151.705,B,560
-32.981,151.705,B,560
-32.983,151.705,B,560
-32.985,151.705,B,560
-32.987,151.705,B,560
-32.989,151.705,B,560
-32.991,151.705,B,560
-32.993,151.705,B,560
-32.995,151.705,B,560
-32.997,151.705,B,560
-32.999,151.705,B,560
-32.811,151.703,B,560
-32.813,151.703,B,560
-32.821,151.703,B,560
-32.859,151.703,B,560
-32.877,151.703,B,560
-32.881,151.703,B,560
-32.883,151.703,B,560
-32.885,151.703,B,560
-32.887,151.703,B,560
-32.889,151.703,B,560
-32.891,151.703,B,560
-32.893,151.703,B,560
-32.895,151.703,B,560
-32.897,151.703,B,560
-32.899,151.703,B,560
-32.901,151.703,B,560
-32.903,151.703,B,560
-32.905,151.703,B,560
-32.907,151.703,B,560
-32.909,151.703,B,560
-32.911,151.703,B,560
-32.913,151.703,B,560
-32.915,151.703,B,560
-32.917,151.703,B,560
-32.919,151.703,B,560
-32.921,151.703,B,560
-32.923,151.703,B,560
-32.925,151.703,B,560
-32.927,151.703,B,560
-32.929,151.703,B,560
-32.931,151.703,B,560
-32.935,151.703,B,560
-32.937,151.703,B,560
-32.939,151.703,B,560
-32.943,151.703,B,560
-32.945,151.703,B,560
-32.947,151.703,B,560
-32.949,151.703,B,560
-32.951,151.703,B,560
-32.953,151.703,B,560
-32.955,151.703,B,560
-32.957,151.703,B,560
-32.959,151.703,B,560
-32.961,151.703,B,560
-32.963,151.703,B,560
-32.965,151.703,B,560
-32.967,151.703,B,560
-32.969,151.703,B,560
-32.971,151.703,B,560
-32.973,151.703,B,560
-32.975,151.703,B,560
-32.977,151.703,B,560
-32.979,151.703,B,560
-32.981,151.703,B,560
-32.983,151.703,B,560
-32.985,151.703,B,560
-32.987,151.703,B,560
-32.989,151.703,B,560
-32.991,151.703,B,560
-32.993,151.703,B,560
-32.995,151.703,B,560
-32.997,151.703,B,560
-32.999,151.703,B,560
-32.821,151.701,B,560
-32.877,151.701,B,560
-32.879,151.701,B,560
-32.883,151.701,B,560
-32.885,151.701,B,560
-32.887,151.701,B,560
-32.889,151.701,B,560
-32.891,151.701,B,560
-32.893,151.701,B,560
-32.895,151.701,B,560
-32.897,151.701,B,560
-32.899,151.701,B,560
-32.901,151.701,B,560
-32.903,151.701,B,560
-32.905,151.701,B,560
-32.907,151.701,B,560
-32.909,151.701,B,560
-32.911,151.701,B,560
-32.913,151.701,B,560
-32.915,151.701,B,560
-32.917,151.701,B,560
-32.919,151.701,B,560
-32.921,151.701,B,560
-32.923,151.701,B,560
-32.925,151.701,B,560
-32.927,151.701,B,560
-32.929,151.701,B,560
-32.931,151.701,B,560
-32.933,151.701,B,560
-32.935,151.701,B,560
-32.937,151.701,B,560
-32.939,151.701,B,560
-32.941,151.701,B,560
-32.943,151.701,B,560
-32.945,151.701,B,560
-32.949,151.701,B,560
