LATITUDE,LONGITUDE,SITE_CLASS,VS30
-32.923,151.793,B,560
-32.927,151.791,B,560
-32.927,151.789,B,560
-32.929,151.789,B,560
-32.927,151.787,B,560
-32.929,151.787,B,560
-32.929,151.785,B,560
-32.927,151.783,B,560
-32.929,151.783,B,560
-32.931,151.783,B,560
-32.933,151.783,B,560
-32.929,151.781,B,560
-32.931,151.781,B,560
-32.933,151.781,B,560
-32.935,151.781,B,560
-32.929,151.779,B,560
-32.931,151.779,B,560
-32.933,151.779,B,560
-32.935,151.779,B,560
-32.929,151.777,B,560
-32.931,151.777,B,560
-32.933,151.777,B,560
-32.935,151.777,B,560
-32.937,151.777,B,560
-32.929,151.775,B,560
-32.931,151.775,B,560
-32.933,151.775,B,560
-32.935,151.775,B,560
-32.937,151.775,B,560
-32.931,151.773,B,560
-32.933,151.773,B,560
-32.935,151.773,B,560
-32.937,151.773,B,560
-32.933,151.771,B,560
-32.935,151.771,B,560
-32.937,151.771,B,560
-32.939,151.771,B,560
-32.933,151.769,B,560
-32.935,151.769,B,560
-32.937,151.769,B,560
-32.939,151.769,B,560
-32.937,151.767,B,560
-32.939,151.767,B,560
-32.941,151.767,B,560
-32.939,151.765,B,560
-32.941,151.765,B,560
-32.943,151.763,B,560
-32.941,151.761,B,560
-32.943,151.761,B,560
-32.945,151.761,B,560
-32.943,151.759,B,560
-32.945,151.759,B,560
-32.905,151.757,B,560
-32.945,151.757,B,560
-32.947,151.757,B,560
-32.907,151.755,B,560
-32.945,151.755,B,560
-32.947,151.755,B,560
-32.949,151.755,B,560
-32.951,151.755,B,560
-32.905,151.753,B,560
-32.907,151.753,B,560
-32.945,151.753,B,560
-32.947,151.753,B,560
-32.949,151.753,B,560
-32.951,151.753,B,560
-32.897,151.751,B,560
-32.905,151.751,B,560
-32.907,151.751,B,560
-32.909,151.751,B,560
-32.943,151.751,B,560
-32.945,151.751,B,560
-32.947,151.751,B,560
-32.949,151.751,B,560
-32.951,151.751,B,560
-32.953,151.751,B,560
-32.895,151.749,B,560
-32.897,151.749,B,560
-32.905,151.749,B,560
-32.907,151.749,B,560
-32.909,151.749,B,560
-32.911,151.749,B,560
-32.943,151.749,B,560
-32.945,151.749,B,560
-32.947,151.749,B,560
-32.949,151.749,B,560
-32.951,151.749,B,560
-32.953,151.749,B,560
-32.895,151.747,B,560
-32.897,151.747,B,560
-32.905,151.747,B,560
-32.907,151.747,B,560
-32.937,151.747,B,560
-32.941,151.747,B,560
-32.943,151.747,B,560
-32.945,151.747,B,560
-32.947,151.747,B,560
-32.949,151.747,B,560
-32.951,151.747,B,560
-32.953,151.747,B,560
-32.955,151.747,B,560
-32.895,151.745,B,560
-32.897,151.745,B,560
-32.899,151.745,B,560
-32.901,151.745,B,560
-32.937,151.745,B,560
-32.941,151.745,B,560
-32.943,151.745,B,560
-32.945,151.745,B,560
-32.947,151.745,B,560
-32.949,151.745,B,560
-32.951,151.745,B,560
-32.953,151.745,B,560
-32.955,151.745,B,560
-32.895,151.743,B,560
-32.897,151.743,B,560
-32.899,151.743,B,560
-32.901,151.743,B,560
-32.925,151.743,B,560
-32.937,151.743,B,560
-32.939,151.743,B,560
-32.943,151.743,B,560
-32.945,151.743,B,560
-32.947,151.743,B,560
-32.949,151.743,B,560
-32.951,151.743,B,560
-32.953,151.743,B,560
-32.955,151.743,B,560
-32.895,151.741,B,560
-32.897,151.741,B,560
-32.925,151.741,B,560
-32.937,151.741,B,560
-32.939,151.741,B,560
-32.941,151.741,B,560
-32.943,151.741,B,560
-32.945,151.741,B,560
-32.947,151.741,B,560
-32.949,151.741,B,560
-32.951,151.741,B,560
-32.953,151.741,B,560
-32.959,151.741,B,560
-32.891,151.739,B,560
-32.893,151.739,B,560
-32.895,151.739,B,560
-32.897,151.739,B,560
-32.939,151.739,B,560
-32.941,151.739,B,560
-32.943,151.739,B,560
-32.945,151.739,B,560
-32.947,151.739,B,560
-32.949,151.739,B,560
-32.951,151.739,B,560
-32.953,151.739,B,560
-32.957,151.739,B,560
-32.959,151.739,B,560
-32.961,151.739,B,560
-32.889,151.737,B,560
-32.891,151.737,B,560
-32.893,151.737,B,560
-32.895,151.737,B,560
-32.897,151.737,B,560
-32.939,151.737,B,560
-32.941,151.737,B,560
-32.943,151.737,B,560
-32.945,151.737,B,560
-32.947,151.737,B,560
-32.949,151.737,B,560
-32.951,151.737,B,560
-32.953,151.737,B,560
-32.955,151.737,B,560
-32.957,151.737,B,560
-32.959,151.737,B,560
-32.961,151.737,B,560
-32.963,151.737,B,560
-32.965,151.737,B,560
-32.967,151.737,B,560
-32.887,151.735,B,560
-32.889,151.735,B,560
-32.891,151.735,B,560
-32.893,151.735,B,560
-32.895,151.735,B,560
-32.927,151.735,B,560
-32.935,151.735,B,560
-32.937,151.735,B,560
-32.939,151.735,B,560
-32.941,151.735,B,560
-32.943,151.735,B,560
-32.945,151.735,B,560
-32.947,151.735,B,560
-32.949,151.735,B,560
-32.951,151.735,B,560
-32.953,151.735,B,560
-32.955,151.735,B,560
-32.957,151.735,B,560
-32.959,151.735,B,560
-32.963,151.735,B,560
-32.965,151.735,B,560
-32.967,151.735,B,560
-32.969,151.735,B,560
-32.885,151.733,B,560
-32.887,151.733,B,560
-32.889,151.733,B,560
-32.891,151.733,B,560
-32.893,151.733,B,560
-32.895,151.733,B,560
-32.927,151.733,B,560
-32.937,151.733,B,560
-32.939,151.733,B,560
-32.941,151.733,B,560
-32.943,151.733,B,560
-32.945,151.733,B,560
-32.947,151.733,B,560
-32.949,151.733,B,560
-32.951,151.733,B,560
-32.953,151.733,B,560
-32.955,151.733,B,560
-32.957,151.733,B,560
-32.959,151.733,B,560
-32.963,151.733,B,560
-32.965,151.733,B,560
-32.967,151.733,B,560
-32.969,151.733,B,560
-32.885,151.731,B,560
-32.887,151.731,B,560
-32.889,151.731,B,560
-32.891,151.731,B,560
-32.893,151.731,B,560
-32.909,151.731,B,560
-32.929,151.731,B,560
-32.931,151.731,B,560
-32.941,151.731,B,560
-32.943,151.731,B,560
-32.945,151.731,B,560
-32.947,151.731,B,560
-32.949,151.731,B,560
-32.951,151.731,B,560
-32.953,151.731,B,560
-32.955,151.731,B,560
-32.957,151.731,B,560
-32.959,151.731,B,560
-32.961,151.731,B,560
-32.963,151.731,B,560
-32.965,151.731,B,560
-32.967,151.731,B,560
-32.969,151.731,B,560
-32.971,151.731,B,560
-32.997,151.731,B,560
-32.999,151.731,B,560
-32.885,151.729,B,560
-32.887,151.729,B,560
-32.889,151.729,B,560
-32.891,151.729,B,560
-32.893,151.729,B,560
-32.905,151.729,B,560
-32.907,151.729,B,560
-32.909,151.729,B,560
-32.911,151.729,B,560
-32.929,151.729,B,560
-32.931,151.729,B,560
-32.933,151.729,B,560
-32.941,151.729,B,560
-32.943,151.729,B,560
-32.945,151.729,B,560
-32.947,151.729,B,560
-32.949,151.729,B,560
-32.951,151.729,B,560
-32.953,151.729,B,560
-32.955,151.729,B,560
-32.957,151.729,B,560
-32.959,151.729,B,560
-32.961,151.729,B,560
-32.963,151.729,B,560
-32.965,151.729,B,560
-32.967,151.729,B,560
-32.969,151.729,B,560
-32.971,151.729,B,560
-32.973,151.729,B,560
-32.989,151.729,B,560
-32.991,151.729,B,560
-32.993,151.729,B,560
-32.995,151.729,B,560
-32.997,151.729,B,560
-32.999,151.729,B,560
-33.001,151.729,B,560
-32.825,151.727,B,560
-32.827,151.727,B,560
-32.829,151.727,B,560
-32.885,151.727,B,560
-32.887,151.727,B,560
-32.889,151.727,B,560
-32.895,151.727,B,560
-32.897,151.727,B,560
-32.899,151.727,B,560
-32.901,151.727,B,560
-32.903,151.727,B,560
-32.905,151.727,B,560
-32.909,151.727,B,560
-32.911,151.727,B,560
-32.931,151.727,B,560
-32.933,151.727,B,560
-32.935,151.727,B,560
-32.937,151.727,B,560
-32.939,151.727,B,560
-32.941,151.727,B,560
-32.943,151.727,B,560
-32.945,151.727,B,560
-32.947,151.727,B,560
-32.949,151.727,B,560
-32.951,151.727,B,560
-32.953,151.727,B,560
-32.955,151.727,B,560
-32.957,151.727,B,560
-32.959,151.727,B,560
